"상품군별","운영형태별",2017 1/4,2017 2/4,2017 3/4,2017 4/4,2018 1/4,2018 2/4,2018 3/4,2018 4/4,2019 1/4,2019 2/4,2019 3/4,2019 4/4,2020 1/4,2020 2/4,2020 3/4,2020 4/4,2021 1/4,2021 2/4
"합계","계",22206339,22517644,23909355,25552427,26610070,27362573,28061080,31280287,31774906,32863768,34118776,37843388,36830142,37480530,40320858,44806826,44939713,46937072
"합계","Online몰",14426447,15146207,15924113,17152579,17295346,18047681,18596341,20849526,20957737,22068020,22910575,25481435,25963848,27430400,29562172,32955130,33270157,34770110
"합계","On/Offline몰",7779891,7371436,7985242,8399848,9314724,9314891,9464739,10430761,10817169,10795750,11208201,12361954,10866295,10050129,10758687,11851696,11669555,12166961
"컴퓨터 및 주변기기","계",1371077,1095922,1196879,1289741,1469143,1185133,1205334,1389272,1636477,1298472,1326763,1528002,1830631,1744729,1786558,1987617,2437593,1961655
"컴퓨터 및 주변기기","Online몰",1137164,892599,979692,1044827,1181549,948984,966707,1092742,1281452,1005515,1048283,1222145,1429465,1291550,1335633,1455221,1628944,1373898
"컴퓨터 및 주변기기","On/Offline몰",233914,203324,217187,244914,287593,236149,238628,296529,355026,292957,278479,305857,401165,453179,450925,532398,808650,587757
"가전·전자·통신기기","계",1896722,2330800,2392007,2492184,2575284,2935066,2941194,3215821,3370024,3608196,3525247,3770937,3877237,4400982,4444729,5415224,5254299,5322335
"가전·전자·통신기기","Online몰",1477180,1817022,1856502,1961479,1960983,2225906,2276595,2485296,2548200,2754217,2784816,2939612,2976316,3448160,3592600,4225472,4090445,4137537
"가전·전자·통신기기","On/Offline몰",419542,513778,535505,530706,614301,709160,664599,730525,821823,853977,740433,831324,900920,952822,852128,1189751,1163853,1184799
"서적","계",491131,353070,429739,407936,510634,390647,425467,442649,525007,403689,457775,460064,624363,546300,610626,633702,743625,566170
"서적","Online몰",141126,107836,135397,136257,162731,127187,138712,154635,181661,143354,158889,168608,234466,211576,234749,255474,287636,222683
"서적","On/Offline몰",350004,245234,294341,271680,347902,263461,286755,288015,343346,260335,298889,291457,389896,334722,375877,378229,455987,343487
"사무·문구","계",183601,175163,172052,202128,226491,191184,183189,237223,232713,216394,207931,267307,261712,249313,247516,328896,305593,283827
"사무·문구","Online몰",134990,128515,129339,151616,180791,153862,142097,183950,181896,169237,161918,208452,201379,195823,193760,258692,232212,211888
"사무·문구","On/Offline몰",48611,46648,42713,50512,45701,37323,41090,53273,50817,47157,46012,58854,60332,53490,53756,70204,73381,71938
"의복","계",2734929,2860624,2605275,3674540,2952520,3197538,2824646,4223645,3305299,3615985,3239294,4585663,3163084,3829108,3170409,4852773,3575121,4230421
"의복","Online몰",2016367,2133621,1947063,2648538,2169993,2356557,2057656,2853598,2259963,2497680,2172153,2926478,1974942,2542280,2070928,2999133,2269212,2748453
"의복","On/Offline몰",718561,727003,658212,1026002,782528,840980,766989,1370045,1045336,1118306,1067142,1659185,1188142,1286828,1099482,1853640,1305908,1481968
"신발","계",375722,468350,399303,470842,425132,506272,423378,531858,522887,633027,568613,696005,599639,795064,664995,819705,690655,831236
"신발","Online몰",258670,336906,280693,324062,294758,356942,280633,347527,312339,386533,329863,374805,322078,392952,318524,385512,334894,412735
"신발","On/Offline몰",117053,131445,118610,146780,130374,149330,142745,184331,210548,246495,238750,321200,277561,402112,346471,434194,355761,418501
"가방","계",475507,461211,480395,507369,558886,552603,549626,566094,644306,654295,661009,712977,642421,667333,689634,730685,754548,808186
"가방","Online몰",318311,316734,331032,350036,379714,382095,375605,383563,428896,447457,447021,481484,436762,486329,509954,553710,560211,606697
"가방","On/Offline몰",157196,144478,149363,157333,179172,170508,174022,182531,215411,206838,213988,231493,205657,181003,179679,176974,194335,201489
"패션용품 및 액세서리","계",456001,496710,518584,557129,583825,583762,573652,595609,587809,662727,656412,665011,570533,558154,562054,563729,546522,621700
"패션용품 및 액세서리","Online몰",269514,297830,292597,328347,336151,324677,313585,343486,302891,360101,341762,355894,327435,351763,364698,362857,342521,399603
"패션용품 및 액세서리","On/Offline몰",186486,198880,225987,228781,247674,259085,260068,252125,284920,302625,314649,309116,243098,206390,197356,200873,204001,222097
"스포츠·레저용품","계",665851,865194,824500,846067,715309,954375,964751,1096070,859032,1133214,1072734,1185138,955059,1429376,1390729,1594451,1269247,1659715
"스포츠·레저용품","Online몰",518159,705055,681113,659668,558733,786132,809928,886899,713895,960262,914343,988909,808836,1222331,1201958,1321329,1029278,1380604
"스포츠·레저용품","On/Offline몰",147692,160140,143387,186399,156577,168245,154824,209172,145137,172951,158391,196229,146222,207046,188770,273121,239968,279111
"화장품","계",2098667,1858722,1989135,2170644,2348937,2393459,2430567,2679100,2790139,2899120,3128846,3561642,3153086,2876381,3160612,3240975,3077917,3230407
"화장품","Online몰",742882,758359,735575,793999,780058,773398,760988,875232,892492,896276,882549,1049380,1118314,1073925,1057335,1188162,1247449,1328187
"화장품","On/Offline몰",1355785,1100362,1253559,1376646,1568879,1620062,1669579,1803868,1897648,2002843,2246297,2512260,2034773,1802455,2103278,2052814,1830468,1902220
"아동·유아용품","계",822194,827230,800386,937368,862696,903152,836936,1012509,937650,1006104,952496,1153558,1154225,1206129,1155971,1339327,1256020,1378920
"아동·유아용품","Online몰",666641,704399,690113,783729,717862,784332,726107,863763,800882,879628,828009,1003764,1012438,1065898,1037068,1199556,1113491,1250298
"아동·유아용품","On/Offline몰",155551,122831,110272,153639,144834,118820,110831,148745,136768,126476,124488,149794,141788,140231,118904,139773,142529,128622
"음·식료품","계",1890604,1927861,2158668,2019889,2488353,2470304,2772093,2763683,3088058,3210613,3542239,3605821,4541087,4447430,5264855,5426013,6048532,5975782
"음·식료품","Online몰",1193431,1226666,1364051,1298108,1586195,1572767,1817386,1840300,2072302,2174436,2376612,2459260,3142852,3149448,3744061,3945584,4475447,4441117
"음·식료품","On/Offline몰",697173,701194,794618,721781,902157,897538,954706,923384,1015754,1036176,1165624,1146561,1398234,1297982,1520793,1480429,1573085,1534665
"농축수산물","계",620725,532749,665737,605376,770488,651407,769332,749287,922794,841418,978749,980088,1479882,1347077,1723273,1662873,2039208,1808191
"농축수산물","Online몰",340999,297048,380077,363573,442000,374903,443905,456417,565366,527930,602387,651486,916328,888598,1141834,1127096,1368525,1277339
"농축수산물","On/Offline몰",279725,235701,285658,241803,328488,276503,325426,292869,357429,313488,376363,328601,563554,458479,581439,535779,670683,530852
"생활용품","계",1818922,1773124,1898954,1992561,2085807,2113723,2146921,2376374,2436612,2496424,2579817,2767629,3392773,3483841,3764128,3864451,3832627,3969769
"생활용품","Online몰",1371863,1350959,1446379,1545516,1588882,1637907,1658168,1863723,1912549,2011550,2034506,2222340,2785643,2889628,3054357,3150282,3186660,3367430
"생활용품","On/Offline몰",447059,422166,452574,447046,496925,475818,488752,512652,524063,484875,545311,545289,607130,594212,709771,714169,645967,602340
"자동차 및 자동차용품","계",238118,255915,273942,255265,226620,247864,254366,281011,283218,302460,379309,381916,487973,539318,580196,576980,661788,1106392
"자동차 및 자동차용품","Online몰",217042,227245,238367,227306,210864,232474,235326,255880,261511,278926,335115,296410,331667,401180,431107,508425,420734,511285
"자동차 및 자동차용품","On/Offline몰",21077,28671,35574,27960,15756,15390,19040,25131,21707,23532,44195,85505,156306,138138,149089,68555,241054,595108
"가구","계",648466,611048,666441,685939,770511,758774,734493,872491,867910,852172,837768,978032,1108393,1221123,1256965,1407957,1463293,1371656
"가구","Online몰",434292,411655,448864,467567,518472,526169,512639,609872,643824,638796,640048,761492,880354,969606,1011978,1124885,1200219,1142247
"가구","On/Offline몰",214173,199392,217577,218372,252040,232605,221854,262618,224087,213375,197719,216540,228039,251517,244987,283071,263074,229411
"애완용품","계",180366,171587,185167,199446,201756,214697,213555,206044,211294,231212,237965,262208,262493,270533,286316,310273,304036,313908
"애완용품","Online몰",168530,159411,173971,186357,187631,200923,199501,191092,194997,214388,216794,239686,238921,243745,258938,279946,274607,283379
"애완용품","On/Offline몰",11836,12176,11196,13089,14125,13774,14054,14952,16296,16824,21171,22521,23571,26789,27379,30327,29429,30531
"여행 및 교통서비스","계",3398499,3527644,4008689,3643518,4001670,4163592,4393793,4022359,4335831,4368664,4714405,4603342,2602146,1614664,2156554,1861359,1696628,2312110
"여행 및 교통서비스","Online몰",1501492,1673620,1975738,1695041,1611485,1786859,1992138,1646621,1745866,1865662,2161238,2034354,1173163,746184,1093566,925631,785291,1081289
"여행 및 교통서비스","On/Offline몰",1897007,1854024,2032951,1948476,2390186,2376732,2401655,2375737,2589965,2503002,2553169,2568988,1428984,868481,1062991,935728,911337,1230822
"문화 및 레저서비스","계",426279,397695,463561,531637,505641,488326,561036,570240,526734,652538,602649,598118,266359,193849,244760,187607,198060,315654
"문화 및 레저서비스","Online몰",253774,256616,259564,333164,333250,294358,289929,353072,281908,390156,343960,355756,156067,155916,161399,137541,130926,196967
"문화 및 레저서비스","On/Offline몰",172506,141080,203997,198474,172391,193968,271107,217168,244826,262382,258690,242362,110292,37932,83363,50067,67134,118687
"e쿠폰서비스","계",259593,278565,292894,370576,374419,467879,556573,709671,731775,762634,868464,1017153,994034,997964,1088317,1185905,1405363,1421705
"e쿠폰서비스","Online몰",254236,265499,287456,364413,368411,453228,548580,702130,718096,746897,854134,1000938,980137,989142,1075386,1171947,1391661,1410708
"e쿠폰서비스","On/Offline몰",5357,13066,5438,6163,6008,14651,7993,7541,13679,15737,14330,16215,13897,8822,12931,13958,13702,10997
"음식서비스","계",549374,602738,717502,862954,1033465,1168404,1417607,1643301,1931381,2203180,2600812,2999989,3451422,3837217,4658762,5386214,5821858,6089629
"음식서비스","Online몰",477233,531071,641875,779955,949327,1083925,1326319,1548108,1837054,2108093,2492130,2888299,3323288,3703841,4485044,5226246,5626554,5898206
"음식서비스","On/Offline몰",72142,71669,75628,82999,84138,84479,91288,95193,94326,95087,108682,111690,128134,133375,173718,159969,195303,191423
"기타서비스","계",142276,137812,228925,165867,192657,179886,257699,228933,254673,257768,400680,435979,414636,344422,432785,443876,614586,490739
"기타서비스","Online몰",125893,89900,167182,112513,123976,104855,178173,150352,147000,145462,295125,344984,327335,237376,318470,336527,515718,377800
"기타서비스","On/Offline몰",16383,47912,61742,53355,68681,75032,79526,78581,107674,112305,105554,90993,87301,107047,114314,107349,98869,112938
"기타","계",461718,507913,540623,663453,729825,644523,624873,867044,773279,553463,578796,626810,996958,880226,980115,986234,942599,866963
"기타","Online몰",406659,457646,481470,596511,651528,559241,545665,761268,672698,465462,488921,506894,865660,773147,868828,815907,757522,709758
"기타","On/Offline몰",55059,50266,59153,66942,78298,85284,79207,105774,100581,88001,89875,119915,131298,107078,111286,170328,185077,157204
